text,label
the stock market rallied as investors bought shares,finance
quarterly earnings beat analyst expectations this period,finance
the central bank raised interest rates again,finance
bond yields rose sharply after the inflation report,finance
the team won the championship in overtime,sports
the striker scored a hat trick in the final,sports
fans celebrated the playoff victory downtown,sports
the coach announced the starting lineup for the match,sports
the new smartphone features a faster processor,tech
the software update improves battery life significantly,tech
engineers released an open source machine learning library,tech
the laptop has a high resolution display and long battery,tech
